site_id,k4_cluster,k6_cluster,pm25_mean,pm25_std,pm25_p90,pm25_season_amp,temp_mean,humidity_mean,windspeed_mean,precip_mean,k4_label,k6_label,k4_cluster_size,k6_cluster_size,k6_small_cluster
site_63,0,4,44.97725190276568,21.047864242179344,71.71270833333334,52.97017697916535,22.23668793103451,80.572384268848,1.65510500805678,0.8197870167765517,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_64,2,2,38.31204408134026,19.282217024430814,64.62075,45.218597156214656,21.248496157024874,86.13440244458015,1.0948592783958637,1.0038850693572727,pollution-rank-3 / volatile / stagnant / humid,pollution-rank-4 / volatile / stagnant / humid,3,3,True
site_65,1,3,29.469779943823678,12.084348270957276,44.73991666666667,26.487349350388047,22.24863374384239,80.42290802411341,1.6826945190840583,0.8207876704194088,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_66,3,1,33.0346634750068,14.967300552157694,52.094166666666666,37.8848148990746,22.25478568238219,80.38031766599998,1.6927973981738795,0.8126932114399007,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_67,3,5,32.83588544844531,15.131413871162483,52.81131304347824,33.88368833636741,22.562616366279087,79.98098513483585,1.7336612106220375,0.923940607602907,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_68,3,5,36.67926045513881,17.451764188282226,60.53048026315793,37.879592664271556,22.548808219895307,80.08814300440712,1.680212008396933,0.894909128670157,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_69,3,5,33.13409343141849,11.97936651307147,48.97195238095238,29.70010670376793,22.635104663677055,80.03028796601424,1.7498139868289924,0.8607103139233185,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_70,3,1,39.9077833371316,15.696149997367863,57.918424242424244,33.58880467419765,22.285491061007974,80.23696920818423,1.721749843224281,0.7970510188805836,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_71,3,5,33.89614475364449,14.960111639079742,52.749583333333334,38.62096786605514,22.599096487341797,80.60786607223746,1.6372665192089833,0.9383438512503165,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_72,0,4,56.29035283404127,20.9863310500141,84.89673913043478,41.20955763882176,22.24591514880956,79.84648457248687,1.584556104626286,0.7496312981764286,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_74,1,3,25.822616280900988,10.68800837048919,40.7827044534413,16.46329782534466,22.0878092542373,80.97933430329073,1.7575571396931293,0.8185879671268474,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_76,1,3,27.02267901238026,9.702095840772952,39.27440000000001,14.328819992891138,21.97771396887157,80.82793069647488,1.676191020122252,0.7990928016280934,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_79,1,3,32.166757704594716,11.093632259729892,48.66083333333336,23.503004593240313,22.190594755700374,80.59269508402865,1.7145429577123767,0.7919341054614983,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_88,1,3,34.85739910441623,10.707522052868303,48.19379166666666,19.937086303296027,21.8900025625,80.93747518952468,1.4291516520037892,0.748197735265375,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_89,1,3,32.31596539542627,11.148046150374059,48.57066666666667,23.206064692447484,21.908037979797996,80.59093027727114,1.4719770449482068,0.7456348414894949,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_91,1,3,31.668038403072245,11.786671165806402,46.2825,30.975680886050498,21.95573456790129,82.42091962509927,1.3148705461379422,0.7997589353229629,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
