site_id,pm25_mean,pm25_std,pm25_p90,pm25_season_amp,temp_mean,humidity_mean,windspeed_mean,precip_mean,lat,lon,n_days,cluster,category
site_48,22.79958058562999,11.789886592032524,37.07575974025974,28.156169573612743,22.165304087136974,80.96609851771117,1.5718161054281394,0.8051558662080497,0.232475,32.567848,482.0,0,low-pollution / well-ventilated
site_49,30.724039112135735,14.775026339776248,49.51108333333334,35.61605951515876,22.155898416833736,81.09396841300399,1.6008955921262484,0.8317917775396394,0.28349,32.604968,499.0,0,low-pollution / well-ventilated
site_51,39.968127542730365,19.458584263804763,66.61733333333335,42.1698915667535,22.284545743440276,81.08958098857418,1.6513709624191473,0.8105752088602333,0.29777,32.596897,343.0,1,high-pollution / well-ventilated
site_52,30.401648803557702,19.017189059979966,51.5410955882353,45.947494788213824,22.210127487437205,80.91383373502363,1.6002612849687938,0.8572304076121104,0.218549,32.622078,398.0,0,low-pollution / well-ventilated
site_53,50.559962742901455,18.279832098273904,74.65744736842106,41.335868364374775,22.103002800000013,80.5147004216888,1.479815097998257,0.7447427115100801,0.272212,32.561922,375.0,1,high-pollution / well-ventilated
site_54,62.90655395669274,21.19187207776693,89.71466666666667,40.40832075565112,22.136872511848367,80.76570993861264,1.5560542856404906,0.80982147259782,0.351927,32.572594,422.0,1,high-pollution / well-ventilated
site_57,42.90059776669544,18.497002594526467,68.48625526315789,42.15256155664859,21.952626496598725,81.20396794728316,1.5733024425668491,0.814829553440204,0.350213,32.5028,294.0,1,high-pollution / well-ventilated
site_58,46.72507640244324,18.688557011470696,72.06416666666668,39.79026840793227,21.27354438554221,86.17460272428428,1.1784939025629784,0.9822018161237591,0.377917,32.532013,415.0,2,moderate-pollution / stagnant
site_59,54.62644627488551,22.696296127586198,83.70395833333333,42.042146061342564,21.491593324999997,85.85899369557325,1.1695026947093332,1.06530606442855,0.384137,32.643419,400.0,2,moderate-pollution / stagnant
site_60,35.14360211663336,13.731390351824137,53.3916153846154,23.62616115535958,22.514239100000054,80.45462660344043,1.7660422136279814,0.9269483879670001,0.310792,32.654781,300.0,0,low-pollution / well-ventilated
site_61,55.77587302558881,28.811913459542115,93.25495471014493,72.39238700348852,22.252820172413863,80.42499880623764,1.6722308939900095,0.8229005523258129,0.373072,32.623734,406.0,1,high-pollution / well-ventilated
site_62,32.43298727769344,13.585530636447455,49.71983333333333,27.92163492797167,22.064802067901212,80.7828050626006,1.4261203300875402,0.8122060030020988,0.335559,32.572891,324.0,0,low-pollution / well-ventilated
site_63,44.97725190276568,21.047864242179333,71.71270833333334,52.97017697916535,22.23668793103451,80.572384268848,1.65510500805678,0.8197870167765517,0.363843,32.533412,406.0,1,high-pollution / well-ventilated
site_64,38.31204408134026,19.282217024430825,64.62075,45.218597156214656,21.248496157024874,86.13440244458015,1.0948592783958635,1.0038850693572727,0.395426,32.627972,242.0,2,moderate-pollution / stagnant
site_65,29.469779943823678,12.084348270957275,44.73991666666667,26.487349350388047,22.24863374384239,80.42290802411341,1.6826945190840583,0.8207876704194088,0.323826,32.57185,406.0,0,low-pollution / well-ventilated
site_66,33.0346634750068,14.967300552157711,52.094166666666666,37.8848148990746,22.25478568238219,80.38031766599998,1.6927973981738795,0.8126932114399007,0.320056,32.571821,403.0,0,low-pollution / well-ventilated
