horizon,model,feature_set,r2,rmse,mae,n_test,n_features
2,hgb_l2,rich_plus_weather_loc_category,0.326342097706667,12.677714987298115,9.615270002188856,2394,47.0
2,hgb_l2,rich_plus_current_weather,0.31939120140736144,12.742952353817884,9.720276631753134,2394,42.0
2,hgb_l2,rich_lag_roll_trend,0.2738468723542159,13.162409126631005,9.973774791286997,2394,34.0
2,persist_lag1,persistence,0.1197405278360697,14.577220255226138,11.05887218804368,2420,
2,persist_lag7,persistence,0.10361467109608047,14.710137499786338,11.058107145213128,2420,
2,persist_yesterday,persistence,0.07485254143939135,14.944274712561931,11.181610785899188,2420,
3,rf,base_existing_plus_target_calendar,0.4761958619389097,11.232896339814307,8.643075326368365,2367,10.0
3,persist_roll7,persistence,0.4595017561088869,11.410493613134063,8.752851571777457,2367,
3,hgb_abs,base_existing_plus_target_calendar,0.44720980221722373,11.539512323792536,8.821849507471253,2367,10.0
3,rf,rich_plus_weather_loc_category,0.44592008227104796,11.571624551731237,8.90250518652934,2337,47.0
3,rf,rich_plus_current_weather,0.44090450805184556,11.623880182328188,8.92198830499895,2337,42.0
3,rf,rich_lag_roll_trend,0.43172557530247035,11.718909081304199,9.001819170827535,2337,34.0
3,hgb_l2,base_existing_plus_target_calendar,0.3641886642841571,12.37574698505092,9.243738714008662,2367,10.0
3,hgb_abs,rich_plus_weather_loc_category,0.3272318055517722,12.750900454865091,9.679096764379578,2337,47.0
3,hgb_abs,rich_plus_current_weather,0.2847683152894508,13.147146492918308,9.966724875031938,2337,42.0
3,hgb_abs,rich_lag_roll_trend,0.26402726732041015,13.336411629128655,10.054091174532205,2337,34.0
3,hgb_l2,rich_plus_current_weather,0.23015151271634204,13.639886603023282,10.420146203341883,2337,42.0
3,hgb_l2,rich_plus_weather_loc_category,0.22867788649153342,13.652934940029912,10.39290513171464,2337,47.0
3,hgb_l2,rich_lag_roll_trend,0.16468964374839823,14.207971011033285,10.885055367539126,2337,34.0
3,persist_lag1,persistence,0.15405698723834937,14.275056716095024,10.729468871446528,2367,
3,persist_yesterday,persistence,0.11270270317944953,14.61981468840994,11.094621543299196,2367,
3,persist_lag7,persistence,0.051792988100518245,15.113284920282496,11.40110850027898,2367,
5,rf,base_existing_plus_target_calendar,0.4342118814936834,11.92558625790035,8.943009645124357,2294,10.0
5,persist_roll7,persistence,0.4220498643177214,12.053079233140934,8.941367719019478,2294,
5,hgb_abs,base_existing_plus_target_calendar,0.40298467101856794,12.250267370726172,9.254864980589993,2294,10.0
5,rf,rich_plus_weather_loc_category,0.39201961347534353,12.350188936605848,9.294439297315492,2250,47.0
5,rf,rich_plus_current_weather,0.38716565551909465,12.399391282200911,9.282260563366089,2250,42.0
5,rf,rich_lag_roll_trend,0.38349163737006087,12.436503688730792,9.318021906859789,2250,34.0
5,hgb_l2,base_existing_plus_target_calendar,0.3042637452857474,13.224374636089836,9.96040613365255,2294,10.0
5,hgb_abs,rich_plus_weather_loc_category,0.2628059272206774,13.59939957729452,10.243369850310268,2250,47.0
5,hgb_abs,rich_plus_current_weather,0.23592948446601913,13.845082170150075,10.42433396555881,2250,42.0
5,hgb_l2,rich_plus_weather_loc_category,0.2073342980466938,14.101777256685274,10.689838878208006,2250,47.0
5,hgb_l2,rich_plus_current_weather,0.20275026885441982,14.142494149866314,10.730922553094352,2250,42.0
5,hgb_abs,rich_lag_roll_trend,0.18167598684100328,14.328194383982764,10.772178359060076,2250,34.0
5,persist_yesterday,persistence,0.1738969996925701,14.410197271026291,10.797365004325535,2294,
5,hgb_l2,rich_lag_roll_trend,0.12433715717185401,14.821674717513563,11.274628818225535,2250,34.0
5,persist_lag1,persistence,0.1098889419180662,14.958048074220285,11.05166741757726,2294,
5,persist_lag7,persistence,0.02395566626615464,15.663456263693993,11.556516451410326,2294,
7,persist_roll7,persistence,0.45014159314039104,11.892654474043283,8.758882520872568,2255,
7,rf,base_existing_plus_target_calendar,0.4096033324667244,12.323251593890925,9.22139537253075,2255,10.0
7,hgb_abs,base_existing_plus_target_calendar,0.3693627118379661,12.736297339844683,9.372066855568725,2255,10.0
7,rf,rich_plus_weather_loc_category,0.36035796953148325,12.758746194049401,9.577420444363176,2211,47.0
7,rf,rich_plus_current_weather,0.34774636014266647,12.88391222107013,9.702504587083128,2211,42.0
7,rf,rich_lag_roll_trend,0.32872588489884835,13.070417253066136,9.80203388415082,2211,34.0
7,hgb_l2,base_existing_plus_target_calendar,0.27811371214009506,13.62660800306056,10.051172831103262,2255,10.0
7,hgb_abs,rich_plus_weather_loc_category,0.2306090760788707,13.993070785056137,10.401969401809064,2211,47.0
7,hgb_l2,rich_plus_weather_loc_category,0.22552246227067552,14.039250230279364,10.664851960677057,2211,47.0
7,hgb_abs,rich_plus_current_weather,0.19761566852297052,14.289950398715805,10.62564196053637,2211,42.0
7,persist_lag7,persistence,0.1891271318837332,14.442080154942634,10.634293844294508,2255,
7,hgb_abs,rich_lag_roll_trend,0.1727493672203928,14.509687387727944,10.885086924559694,2211,34.0
7,hgb_l2,rich_plus_current_weather,0.16258211517219012,14.598580116020175,11.052575747204365,2211,42.0
7,persist_lag1,persistence,0.11853406524788701,15.057613070580157,10.951854974748192,2255,
7,hgb_l2,rich_lag_roll_trend,0.09368572865356395,15.187241920616644,11.559870275353273,2211,34.0
7,persist_yesterday,persistence,0.013986888603450987,15.92555995695418,11.443761129842386,2255,
