site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_29,3,geodata,60,1,1,True,7.939756522113048,6.780214693637174,6.264903173501542
site_43,3,geodata,60,1,0,False,9.662410411369844,7.161350507243344,-4.814684355580092
site_47,3,geodata,60,1,0,False,11.661173517771688,9.291305921620639,-7.774306006653922
site_63,3,geodata,60,1,4,False,18.191451985470117,15.288926072791782,13.786923728423956
site_67,3,geodata,60,5,1,False,7.404356844669546,5.90299282943615,3.513237525912402
site_69,3,geodata,60,5,0,False,7.496727327783592,5.713069009531698,-2.4043642226769806
site_70,3,geodata,60,1,4,False,13.324328330117462,11.584559269350317,10.645215599392452
site_89,3,geodata,60,0,5,False,11.482942559993294,10.423947396275336,10.423947396275336
site_135,4,geodata,60,0,1,False,9.698418283565063,7.903906330043277,6.303498098744982
site_39,4,geodata,60,1,1,True,9.475645830490288,7.671075057737615,-6.674082174633126
site_46,4,geodata,60,0,0,True,9.088995170365306,7.69884857169116,0.637532524581985
site_51,4,geodata,60,1,5,False,17.033696265666585,14.329509445576397,11.988223712487128
site_62,4,geodata,60,0,0,True,5.803775025958813,4.219065115551497,1.0097375878961776
site_65,4,geodata,60,0,1,False,7.030148407706708,5.054167268210812,2.754978020603295
site_68,4,geodata,60,4,1,False,8.897000114338976,6.6256706021950516,0.5228029130260868
site_76,4,geodata,60,0,0,True,13.36375856520854,11.556072441018708,10.86894956033918
site_44,5,geodata,60,2,2,True,9.289708578394842,7.045681366873305,5.8586209064340595
site_48,5,geodata,60,2,0,False,18.96144417047403,17.044716217944526,17.044716217944526
site_52,5,geodata,60,1,0,False,9.911901830259406,7.545126693303141,2.4207661987096496
site_61,5,geodata,60,5,2,False,31.069043553635233,26.226172141091357,-17.093487862951694
site_71,5,geodata,60,4,2,False,10.813148964471862,9.301815217033631,8.237475568894874
site_72,5,geodata,60,5,3,False,19.504568200536916,15.982137573493027,-15.63599962119721
site_74,5,geodata,60,2,0,False,10.08964439421745,7.819137826808252,5.2131925722038694
site_91,5,geodata,60,2,3,False,10.295265605029202,6.521490453459413,2.9219390098138938
site_35,1,window,60,5,1,False,14.297754366176305,12.220222891751447,10.008488797414243
site_36,1,window,60,0,1,False,11.98689376973894,9.265694455612167,-0.22834526946577913
site_45,1,window,60,3,3,True,14.143005317453413,10.551064558117082,4.436239918670582
site_54,1,window,60,3,1,False,24.948782379242957,21.343678247107743,-21.26374075745269
site_57,1,window,60,5,1,False,14.065475984882747,10.264749892942788,-5.742054371625884
site_66,1,window,60,5,3,False,20.557155258932383,19.68879594293177,19.624928180856315
site_79,1,window,60,4,0,False,4.548578448103276,3.5543838270142634,1.5222984944450495
site_26,2,window,60,3,4,False,5.016162864232097,3.8068651360540744,0.41324232201922645
site_49,2,window,60,3,4,False,6.225503236751148,5.001322640783828,2.8372253936924294
site_53,2,window,60,2,4,False,16.507240727936964,14.201095470140636,-14.012622983774689
site_58,2,window,60,4,4,True,14.207417724036208,11.233806604762524,-4.464056729653876
site_59,2,window,60,4,4,True,23.71135306447469,17.287185232279654,-14.251605207834448
site_60,2,window,60,1,1,True,8.774352902694604,6.644998418300601,-2.7212034916805474
site_64,2,window,60,4,4,True,12.97377470836606,11.194794578858021,4.688794511631928
site_88,2,window,60,3,0,False,4.491405310927172,3.3965895797721815,-2.143861599746088
site_29,3,window,60,1,0,False,6.123616800731503,4.89419174377952,0.14422960220837594
site_43,3,window,60,1,2,False,8.104909549212989,6.456707192718948,2.5623793704935904
site_47,3,window,60,1,0,False,11.661173517771688,9.291305921620639,-7.774306006653922
site_63,3,window,60,1,4,False,18.191451985470117,15.288926072791782,13.786923728423956
site_67,3,window,60,5,5,True,7.1431607470692855,5.6882765260289245,3.0320686616222523
site_69,3,window,60,5,5,True,8.368729462320388,6.714060518142922,1.455057661084064
site_70,3,window,60,1,4,False,13.324328330117462,11.584559269350317,10.645215599392452
site_89,3,window,60,0,0,True,4.135596377458746,3.4173097500722696,2.4633567945828263
site_135,4,window,60,0,0,True,7.121704414899615,5.91496706753978,3.4549886513207193
site_39,4,window,60,1,0,False,12.511652396821628,10.311216596768933,-9.431441328722364
site_46,4,window,60,0,0,True,9.088995170365306,7.69884857169116,0.637532524581985
site_51,4,window,60,1,0,False,18.688780071497973,14.23446828660042,-13.125977156153288
site_62,4,window,60,0,0,True,5.803775025958813,4.219065115551497,1.0097375878961776
site_65,4,window,60,0,0,True,5.378887969816882,4.025713567906691,0.5917247350832988
