day,actual,nowcast,band_lo,band_hi,pred_tier,actual_tier
2019-11-11,23.976,33.841998713222964,9.650518220149753,58.03347920629618,Elevated,Elevated
2019-11-12,45.314,29.93808704438009,5.746606551306879,54.1295675374533,Elevated,High
2019-11-13,29.723684210526315,34.42302529836868,10.231544805295467,58.614505791441886,Elevated,Elevated
2019-11-14,45.44952380952381,37.66675131782275,13.47527082474954,61.85823181089596,High,High
2019-11-15,47.389047619047616,37.978117645613246,13.786637152540035,62.16959813868645,High,High
2019-11-16,28.20590909090909,39.205595647062935,15.014115153989724,63.39707614013615,High,Elevated
2019-11-17,20.12857142857143,37.937651072464355,13.746170579391144,62.12913156553756,High,Elevated
2019-11-18,41.006875,32.496445865677856,8.304965372604645,56.68792635875107,Elevated,High
2019-11-19,34.52736842105263,35.71140426521858,11.519923772145372,59.90288475829179,High,Elevated
2019-11-20,21.47684210526316,29.723296753639673,5.531816260566462,53.91477724671289,Elevated,Elevated
2019-11-21,20.935263157894735,33.940721971140334,9.749241478067123,58.13220246421355,Elevated,Elevated
2019-11-22,17.63235294117647,29.66005857532132,5.468578082248108,53.85153906839453,Elevated,Elevated
2019-11-23,9.57181818181818,22.3412793668508,0.0,46.53275985992401,Elevated,Elevated
2019-11-24,21.38111111111111,26.620472120457038,2.4289916273838266,50.81195261353025,Elevated,Elevated
2019-11-25,22.18764705882353,27.303403487848612,3.1119229947754015,51.49488398092183,Elevated,Elevated
2019-11-26,17.38,31.82454946515215,7.633068972078938,56.01602995822536,Elevated,Elevated
2019-11-27,48.04272727272728,36.60587571437007,12.41439522129686,60.797356207443286,High,High
2019-11-28,25.884375,37.95957970554046,13.768099212467252,62.15106019861368,High,Elevated
2019-11-29,21.86375,36.099614240919564,11.908133747846353,60.29109473399278,High,Elevated
2019-11-30,14.052307692307693,38.95539801012203,14.76391751704882,63.14687850319524,High,Elevated
2019-12-01,32.93076923076923,36.9310919990467,12.739611505973489,61.122572492119915,High,Elevated
2019-12-02,36.47857142857143,36.42137063425172,12.229890141178512,60.61285112732493,High,High
2019-12-03,19.88615384615385,28.84300786936974,4.651527376296528,53.03448836244295,Elevated,Elevated
2019-12-04,24.700769230769232,34.72391502530766,10.53243453223445,58.915395518380876,Elevated,Elevated
2019-12-05,33.4,46.824491414908444,22.633010921835233,71.01597190798165,High,Elevated
2019-12-06,29.85368421052632,36.84146842297208,12.649987929898867,61.032948916045285,High,Elevated
2019-12-07,27.11764705882353,33.92935274645164,9.73787225337843,58.120833239524856,Elevated,Elevated
2019-12-08,45.59235294117647,40.90682741554058,16.715346922467372,65.09830790861379,High,High
2019-12-09,31.754444444444445,32.35850478145443,8.167024288381217,56.54998527452764,Elevated,Elevated
2019-12-10,17.62066666666667,28.990378830915347,4.798898337842136,53.18185932398856,Elevated,Elevated
2019-12-11,26.490526315789474,26.16196093060991,1.9704804375367004,50.35344142368312,Elevated,Elevated
2019-12-12,23.54,33.751761242906106,9.560280749832895,57.94324173597931,Elevated,Elevated
2019-12-13,21.066315789473684,31.632633274868375,7.441152781795164,55.82411376794158,Elevated,Elevated
2019-12-14,24.7035,34.17262479132678,9.981144298253572,58.3641052844,Elevated,Elevated
2019-12-15,30.1425,35.93130779621514,11.739827303141926,60.12278828928835,High,Elevated
2020-01-30,14.733125,24.724334097150923,0.5328536040777117,48.91581459022413,Elevated,Elevated
2020-01-31,25.223636363636366,31.15881319011212,6.967332697038909,55.35029368318533,Elevated,Elevated
